,model,season,region_id,source,term,value
1633,MPI-ESM1-2-LR,DJF,31,dynamical,change,0.010297546424011594
1634,MPI-ESM1-2-LR,DJF,31,dynamical,uncalibrated change,0.005952378394614739
1635,MPI-ESM1-2-LR,DJF,31,nonlinear,bias,-0.021901255372475063
1636,MPI-ESM1-2-LR,DJF,31,nonlinear,change,0.0015165926539716093
1637,MPI-ESM1-2-LR,DJF,31,nonlinear,uncalibrated change,0.0008643918357200991
1638,MPI-ESM1-2-LR,DJF,32,conversion,bias,-0.01670783560835054
1639,MPI-ESM1-2-LR,DJF,32,conversion,change,0.0015183039491515476
1640,MPI-ESM1-2-LR,DJF,32,conversion,uncalibrated change,0.0016292621206459902
1641,MPI-ESM1-2-LR,DJF,32,dynamical,bias,0.03612553102671399
1642,MPI-ESM1-2-LR,DJF,32,dynamical,change,0.0003012678258747924
1643,MPI-ESM1-2-LR,DJF,32,dynamical,uncalibrated change,0.00010725296960798293
1644,MPI-ESM1-2-LR,DJF,32,nonlinear,bias,-0.009022034708237318
1645,MPI-ESM1-2-LR,DJF,32,nonlinear,change,-2.6201379476748383e-05
1646,MPI-ESM1-2-LR,DJF,32,nonlinear,uncalibrated change,-2.1024218530393817e-05
1647,MPI-ESM1-2-LR,DJF,33,conversion,bias,0.014698452200270405
1648,MPI-ESM1-2-LR,DJF,33,conversion,change,0.0060688940387844505
1649,MPI-ESM1-2-LR,DJF,33,conversion,uncalibrated change,0.013185377622682966
1650,MPI-ESM1-2-LR,DJF,33,dynamical,bias,0.030913193341822544
1651,MPI-ESM1-2-LR,DJF,33,dynamical,change,0.008591749699388642
1652,MPI-ESM1-2-LR,DJF,33,dynamical,uncalibrated change,0.009621003429904912
1653,MPI-ESM1-2-LR,DJF,33,nonlinear,bias,0.0064607010339451845
1654,MPI-ESM1-2-LR,DJF,33,nonlinear,change,0.0014487864904926828
1655,MPI-ESM1-2-LR,DJF,33,nonlinear,uncalibrated change,0.0016280369575323377
1656,MPI-ESM1-2-LR,DJF,34,conversion,bias,0.020962089448880283
1657,MPI-ESM1-2-LR,DJF,34,conversion,change,0.0057443356904629
1658,MPI-ESM1-2-LR,DJF,34,conversion,uncalibrated change,0.011163956164607388
1659,MPI-ESM1-2-LR,DJF,34,dynamical,bias,0.016986017660222983
1660,MPI-ESM1-2-LR,DJF,34,dynamical,change,0.003708310243152366
1661,MPI-ESM1-2-LR,DJF,34,dynamical,uncalibrated change,0.004384853321082286
1662,MPI-ESM1-2-LR,DJF,34,nonlinear,bias,0.0053087909468103826
1663,MPI-ESM1-2-LR,DJF,34,nonlinear,change,0.0003912603339842916
1664,MPI-ESM1-2-LR,DJF,34,nonlinear,uncalibrated change,0.00043313695054799143
1665,MPI-ESM1-2-LR,DJF,35,conversion,bias,0.005712094006495649
1666,MPI-ESM1-2-LR,DJF,35,conversion,change,0.012284919027270164
1667,MPI-ESM1-2-LR,DJF,35,conversion,uncalibrated change,0.01948264199566092
1668,MPI-ESM1-2-LR,DJF,35,dynamical,bias,0.022775766700077416
1669,MPI-ESM1-2-LR,DJF,35,dynamical,change,0.00844626803605712
1670,MPI-ESM1-2-LR,DJF,35,dynamical,uncalibrated change,0.009109636770355556
1671,MPI-ESM1-2-LR,DJF,35,nonlinear,bias,0.0008822101729317898
1672,MPI-ESM1-2-LR,DJF,35,nonlinear,change,0.0024973145086737915
1673,MPI-ESM1-2-LR,DJF,35,nonlinear,uncalibrated change,0.002737390524916967
1674,MPI-ESM1-2-LR,DJF,36,conversion,bias,-0.01584403843964688
1675,MPI-ESM1-2-LR,DJF,36,conversion,change,0.02501100875788295
1676,MPI-ESM1-2-LR,DJF,36,conversion,uncalibrated change,0.02009127656235014
1677,MPI-ESM1-2-LR,DJF,36,dynamical,bias,0.007788205163348234
1678,MPI-ESM1-2-LR,DJF,36,dynamical,change,0.008890418994914683
1679,MPI-ESM1-2-LR,DJF,36,dynamical,uncalibrated change,0.005607027484507198
1680,MPI-ESM1-2-LR,DJF,36,nonlinear,bias,-0.0022310268875098314
1681,MPI-ESM1-2-LR,DJF,36,nonlinear,change,0.004395941454529104
1682,MPI-ESM1-2-LR,DJF,36,nonlinear,uncalibrated change,0.0027756967313116126
1683,MPI-ESM1-2-LR,DJF,37,conversion,bias,0.00843751968134312
1684,MPI-ESM1-2-LR,DJF,37,conversion,change,0.019024605790813418
1685,MPI-ESM1-2-LR,DJF,37,conversion,uncalibrated change,0.027179356256936082
1686,MPI-ESM1-2-LR,DJF,37,dynamical,bias,0.012660952205161577
1687,MPI-ESM1-2-LR,DJF,37,dynamical,change,-0.015076730404145191
1688,MPI-ESM1-2-LR,DJF,37,dynamical,uncalibrated change,-0.014264218943041694
1689,MPI-ESM1-2-LR,DJF,37,nonlinear,bias,-0.0022370580291925595
1690,MPI-ESM1-2-LR,DJF,37,nonlinear,change,-0.005123805599461275
1691,MPI-ESM1-2-LR,DJF,37,nonlinear,uncalibrated change,-0.0049642636708296
1692,MPI-ESM1-2-LR,DJF,38,conversion,bias,-0.03240600367164452
1693,MPI-ESM1-2-LR,DJF,38,conversion,change,0.01773120924527828
1694,MPI-ESM1-2-LR,DJF,38,conversion,uncalibrated change,0.007274618378436694
1695,MPI-ESM1-2-LR,DJF,38,dynamical,bias,0.01060033771518104
1696,MPI-ESM1-2-LR,DJF,38,dynamical,change,-0.011022812625969656
1697,MPI-ESM1-2-LR,DJF,38,dynamical,uncalibrated change,-0.004322212026917908
1698,MPI-ESM1-2-LR,DJF,38,nonlinear,bias,-0.005786557698106352
1699,MPI-ESM1-2-LR,DJF,38,nonlinear,change,-0.003469900240316949
1700,MPI-ESM1-2-LR,DJF,38,nonlinear,uncalibrated change,-0.0012740996619069302
1701,MPI-ESM1-2-LR,DJF,39,conversion,bias,-0.03368627103370468
