# x_m,y_m,w_tr_right_m,w_tr_left_m
-139.904,-389.447,6.29,6.21
-142.442,-385.139,6.35,6.25
-144.659,-380.655,6.34,7.16
-146.872,-376.169,6.02,7.48
-149.054,-371.665,8.46,7.24
-151.205,-367.144,8.16,7.54
-153.334,-362.609,7.82,7.76
-155.747,-358.231,7.81,7.87
-158.171,-353.859,7.81,7.77
-160.597,-349.488,7.8,7.76
-163.026,-345.118,7.8,7.86
-165.456,-340.75,7.8,7.76
-167.888,-336.382,7.79,7.85
-170.312,-332.009,7.78,7.76
-172.747,-327.642,7.78,7.76
-175.226,-323.3,7.82,7.7
-177.714,-318.963,7.88,7.64
-180.15,-314.597,7.88,8.24
-182.639,-310.26,7.93,8.17
-185.066,-305.889,7.92,7.58
-187.441,-301.488,7.85,8.25
-189.807,-297.082,7.76,7.62
-192.224,-292.704,7.74,7.64
-194.587,-288.297,7.65,7.61
-197.002,-283.917,7.63,7.63
-199.423,-279.542,7.62,7.64
-201.852,-275.171,7.61,7.53
-204.27,-270.793,7.6,7.64
-206.694,-266.419,7.6,7.64
-209.124,-262.048,7.6,7.52
-211.543,-257.671,7.6,7.62
-213.959,-253.291,7.6,7.62
-216.38,-248.915,7.6,7.6
-218.798,-244.537,7.61,7.59
-221.212,-240.157,7.62,7.58
-223.624,-235.776,7.62,7.66
-226.033,-231.393,7.63,7.65
-228.448,-227.014,7.65,7.63
-230.852,-222.629,7.65,7.61
-233.262,-218.247,7.67,7.69
-235.67,-213.864,7.69,7.67
-238.077,-209.48,7.7,7.74
-240.482,-205.096,7.72,7.72
-242.806,-200.667,7.65,7.79
-245.208,-196.282,7.66,7.86
-247.609,-191.895,7.68,6.94
-250.017,-187.513,7.71,7.91
-252.425,-183.13,7.73,7.87
-254.912,-178.791,7.85,7.85
-257.319,-174.408,7.88,7.92
-259.734,-170.03,7.91,7.87
-262.141,-165.647,7.94,7.94
-264.539,-161.26,7.96,8.02
-266.946,-156.877,7.98,7.98
-269.345,-152.491,8.0,7.96
-271.736,-148.1,8.01,8.05
-274.128,-143.71,8.01,8.03
-276.529,-139.325,8.03,8.01
-278.923,-134.936,8.04,8.0
-281.319,-130.549,8.04,8.08
-283.725,-126.167,8.06,8.06
-286.133,-121.786,8.07,8.03
-288.534,-117.401,8.08,8.12
-290.937,-113.018,8.09,8.11
-293.343,-108.637,8.09,8.09
-295.751,-104.257,8.1,8.08
-298.162,-99.878,8.11,8.07
-300.576,-95.501,8.11,8.15
-302.993,-91.127,8.12,8.14
-305.413,-86.754,8.13,8.13
-307.837,-82.383,8.13,8.11
-310.255,-78.009,8.13,8.11
-312.739,-73.672,8.2,8.14
-315.104,-69.269,8.12,8.1
-317.526,-64.898,8.11,8.81
-319.944,-60.524,8.09,7.43
-322.378,-56.16,8.08,8.03
-324.713,-51.738,7.95,8.15
